drug_id,ec50_factor,Eff_0,Error_0,SSE
[0],1.2,2.8695456272,0.6835011619136506,0.6835011619136506
[0],1.21,2.8949029165,0.6422163178601523,0.6422163178601523
[0],1.22,2.9282600213000003,0.5898653140546323,0.5898653140546323
[0],1.23,2.9376437469,0.5755394610566641,0.5755394610566641
[0],1.24,2.9768219765,0.5176298020475986,0.5176298020475986
[0],1.25,3.0164722344,0.4621480040381682,0.4621480040381682
[0],1.26,3.0268075312000002,0.44820264935010395,0.44820264935010395
[0],1.27,3.0449268768,0.424269903272066,0.424269903272066
[0],1.28,3.0926725342999997,0.36435032420953145,0.36435032420953145
[0],1.29,3.0790477084999996,0.38098424174418555,0.38098424174418555
[0],1.3,3.1156326801,0.33715934399123,0.33715934399123
[0],1.31,3.11353619,0.3395984109845302,0.3395984109845302
[0],1.32,3.1686376218000003,0.2784137797803552,0.2784137797803552
[0],1.33,3.1989099718,0.24738382661123787,0.24738382661123787
[0],1.34,3.2017517725999998,0.24456501003579956,0.24456501003579956
[0],1.35,3.2186035728999998,0.2281813781859261,0.2281813781859261
[0],1.36,3.2561938178,0.19368193684364757,0.19368193684364757
[0],1.37,3.2688866836,0.1826709603651752,0.1826709603651752
[0],1.3800000000000001,3.2978935676,0.15871726164293729,0.15871726164293729
[0],1.3900000000000001,3.2684317928,0.1830600081599079,0.1830600081599079
[0],1.4000000000000001,3.3394635279,0.12732293172245693,0.12732293172245693
[0],1.4100000000000001,3.3442915278,0.12390075472205052,0.12390075472205052
[0],1.4200000000000002,3.3771929902,0.10182093475883162,0.10182093475883162
[0],1.4300000000000002,3.3884910202,0.09473831470250814,0.09473831470250814
[0],1.4400000000000002,3.4027869087,0.0861422554591002,0.0861422554591002
[0],1.4500000000000002,3.4275168984000004,0.07223732343578428,0.07223732343578428
[0],1.4600000000000002,3.4307307545000003,0.07052007597283867,0.07052007597283867
[0],1.4700000000000002,3.4695229913000003,0.051421878452402925,0.051421878452402925
[0],1.4800000000000002,3.4772847710000003,0.04796194039060955,0.04796194039060955
[0],1.4900000000000002,3.531401208,0.027187297362204123,0.027187297362204123
[0],1.5000000000000002,3.5127064868,0.03370177471957802,0.03370177471957802
[0],1.5100000000000002,3.5484040679,0.021869337353699142,0.021869337353699142
[0],1.5200000000000002,3.5701218002000004,0.015917636949487834,0.015917636949487834
[0],1.5300000000000002,3.5956447177000004,0.010128852481225284,0.010128852481225284
[0],1.5400000000000003,3.5974262917,0.009773423432428258,0.009773423432428258
[0],1.5500000000000003,3.6154545575999997,0.006533870487835573,0.006533870487835573
[0],1.5600000000000003,3.6423362774,0.002910671621150379,0.002910671621150379
[0],1.5700000000000003,3.6442849348000004,0.002704206256733064,0.002704206256733064
[0],1.5800000000000003,3.6581836209,0.0014518612498908802,0.0014518612498908802
[0],1.5900000000000003,3.6774599791,0.00035445362834434077,0.00035445362834434077
[0],1.6000000000000003,3.6988335275999997,6.485220454809753e-06,6.485220454809753e-06
[0],1.6100000000000003,3.7195281131000004,0.0005401531496762743,0.0005401531496762743
[0],1.6200000000000003,3.722648127,0.0006949133399416603,0.0006949133399416603
[0],1.6300000000000003,3.7310940774000003,0.0012115383454970167,0.0012115383454970167
[0],1.6400000000000003,3.7648441783,0.004700097939841953,0.004700097939841953
[0],1.6500000000000004,3.7797413678,0.006964645191420655,0.006964645191420655
[0],1.6600000000000004,3.7947317315,0.009691381305049783,0.009691381305049783
[0],1.6700000000000004,3.7998252633,0.010720188947461951,0.010720188947461951
