drug_id,ec50_factor,Eff_0,Error_0,SSE
[0],1.2,2.8549541192,0.8592365524057386,0.8592365524057386
[0],1.21,2.8924292726,0.7911657425365308,0.7911657425365308
[0],1.22,2.9239363049,0.7361090016828606,0.7361090016828606
[0],1.23,2.9458636347,0.698963917119528,0.698963917119528
[0],1.24,2.9589128094,0.6773149178847948,0.6773149178847948
[0],1.25,3.0393830989999997,0.5513376656225346,0.5513376656225346
[0],1.26,3.0231609243,0.5756914403642431,0.5756914403642431
[0],1.27,3.0224063547,0.5768370590411128,0.5768370590411128
[0],1.28,3.0860398211,0.48422730897523875,0.48422730897523875
[0],1.29,3.0745417689999996,0.5003616851853758,0.5003616851853758
[0],1.3,3.1211233878,0.4366313531360224,0.4366313531360224
[0],1.31,3.1174166090999997,0.44154383022474897,0.44154383022474897
[0],1.32,3.1668007539,0.37835231583527074,0.37835231583527074
[0],1.33,3.1933732863,0.3463686999418986,0.3463686999418986
[0],1.34,3.2023239625,0.33591331429522514,0.33591331429522514
[0],1.35,3.2424697579,0.2909895755826611,0.2909895755826611
[0],1.36,3.2388513927,0.29490641016611713,0.29490641016611713
[0],1.37,3.2875518481,0.2443843012191183,0.2443843012191183
[0],1.3800000000000001,3.3024637684,0.22986317923236388,0.22986317923236388
[0],1.3900000000000001,3.2892527822999997,0.24270547256817623,0.24270547256817623
[0],1.4000000000000001,3.3296361735,0.20454641663915457,0.20454641663915457
[0],1.4100000000000001,3.3452934909000005,0.19062895845476396,0.19062895845476396
[0],1.4200000000000002,3.3807731684999998,0.16090614775440856,0.16090614775440856
[0],1.4300000000000002,3.3929948831,0.15125049877383376,0.15125049877383376
[0],1.4400000000000002,3.4087273430000002,0.1392610069035018,0.1392610069035018
[0],1.4500000000000002,3.4260195945,0.12665389086743095,0.12665389086743095
[0],1.4600000000000002,3.4573504111,0.10533519694115781,0.10533519694115781
[0],1.4700000000000002,3.4669590487,0.0991904823414591,0.0991904823414591
[0],1.4800000000000002,3.4813055283,0.09035959389246385,0.09035959389246385
[0],1.4900000000000002,3.4886499691,0.08599807561221046,0.08599807561221046
[0],1.5000000000000002,3.5292792007999996,0.06381941750430309,0.06381941750430309
[0],1.5100000000000002,3.5526053577,0.05257798384439815,0.05257798384439815
[0],1.5200000000000002,3.5239079912,0.0665620716187666,0.0665620716187666
[0],1.5300000000000002,3.527041552,0.06495499687074083,0.06495499687074083
[0],1.5400000000000003,3.5957771041,0.034643315929897035,0.034643315929897035
[0],1.5500000000000003,3.6214832941,0.02573488437523746,0.02573488437523746
[0],1.5600000000000003,3.6106894277,0.029314516744939158,0.029314516744939158
[0],1.5700000000000003,3.6420685393,0.019554027105659857,0.019554027105659857
[0],1.5800000000000003,3.6492320059999996,0.01760192538937362,0.01760192538937362
[0],1.5900000000000003,3.6694996915999996,0.01263478564833561,0.01263478564833561
[0],1.6000000000000003,3.7068546767,0.0056324390529087,0.0056324390529087
[0],1.6100000000000003,3.7118989331999996,0.0049007449403109735,0.0049007449403109735
[0],1.6200000000000003,3.7113853821999996,0.004972911279944905,0.004972911279944905
[0],1.6300000000000003,3.7456996529999995,0.0013107731335692415,0.0013107731335692415
[0],1.6400000000000003,3.749112808,0.0010752789307709198,0.0010752789307709198
[0],1.6500000000000004,3.7608855473999996,0.0004417860271369042,0.0004417860271369042
[0],1.6600000000000004,3.7740719140000003,6.134554987559642e-05,6.134554987559642e-05
[0],1.6700000000000004,3.8052512731,0.0005450833008557663,0.0005450833008557663
[0],1.6800000000000004,3.8082992701000005,0.0006966968749192798,0.0006966968749192798
[0],1.6900000000000004,3.8279840977,0.0021233519954164154,0.0021233519954164154
[0],1.7000000000000004,3.8177953746999997,0.0012881725451019447,0.0012881725451019447
[0],1.7100000000000004,3.8611881948000004,0.006285943268777959,0.006285943268777959
[0],1.7200000000000004,3.8583217048,0.005839626786770379,0.005839626786770379
[0],1.7300000000000004,3.869756196,0.007717963713171347,0.007717963713171347
[0],1.7400000000000004,3.8921093626000003,0.01214516596153784,0.01214516596153784
[0],1.7500000000000004,3.9191993895,0.018849954231963374,0.018849954231963374
[0],1.7600000000000005,3.9091091864000003,0.01618109482688862,0.01618109482688862
[0],1.7700000000000005,3.9152926461,0.017792463147023364,0.017792463147023364
[0],1.7800000000000005,3.9334773377,0.022974399702327137,0.022974399702327137
[0],1.7900000000000005,3.9399000324,0.024962665992221945,0.024962665992221945
[0],1.8000000000000005,3.9476613695,0.02747542133888032,0.02747542133888032
[0],1.8100000000000005,3.9586476873,0.03123824121467154,0.03123824121467154
[0],1.8200000000000005,3.9753697388,0.037428893808899,0.037428893808899
[0],1.8300000000000005,3.9808818155,0.03959206998048629,0.03959206998048629
[0],1.8400000000000005,3.9967307469,0.0461504220517137,0.0461504220517137
[0],1.8500000000000005,3.9961039251000003,0.04588149909934829,0.04588149909934829
[0],1.8600000000000005,3.9921603801999996,0.04420763860463014,0.04420763860463014
[0],1.8700000000000006,4.0139448549,0.05384284046603308,0.05384284046603308
[0],1.8800000000000006,4.008307611799999,0.05125848042311451,0.05125848042311451
[0],1.8900000000000006,4.0271516793,0.06014629961627913,0.06014629961627913
[0],1.9000000000000006,4.0357991878,0.06446263740930652,0.06446263740930652
[0],1.9100000000000006,4.0466129534,0.07007069553803973,0.07007069553803973
[0],1.9200000000000006,4.055498851399999,0.07485400372646774,0.07485400372646774
[0],1.9300000000000006,4.0762513435,0.086640209097121,0.086640209097121
[0],1.9400000000000006,4.0672723621,0.08143495712057311,0.08143495712057311
[0],1.9500000000000006,4.0653142103999995,0.08032120338664958,0.08032120338664958
[0],1.9600000000000006,4.0882907058999995,0.0938726579078707,0.0938726579078707
[0],1.9700000000000006,4.0907929449000004,0.09541222336591597,0.09541222336591597
[0],1.9800000000000006,4.094643104399999,0.09780558854951313,0.09780558854951313
[0],1.9900000000000007,4.1105330264,0.10799687004913078,0.10799687004913078
[0],2.000000000000001,4.1039674493,0.10372470176684576,0.10372470176684576
[0],2.0100000000000007,4.108083307,0.10639277461597692,0.10639277461597692
[0],2.0200000000000005,4.1286655613,0.12024340424040503,0.12024340424040503
[0],2.0300000000000007,4.1305797204,0.12157458086925754,0.12157458086925754
[0],2.040000000000001,4.1324246299,0.12286453392107727,0.12286453392107727
[0],2.0500000000000007,4.1353258899,0.124906852722232,0.124906852722232
[0],2.0600000000000005,4.1292849305,0.12067333440559752,0.12067333440559752
[0],2.0700000000000007,4.148991805800001,0.13475327068651807,0.13475327068651807
[0],2.080000000000001,4.1537847193,0.13829508047174438,0.13829508047174438
[0],2.0900000000000007,4.1408992792,0.12887742811834865,0.12887742811834865
[0],2.1000000000000005,4.1650239468,0.14678069901116622,0.14678069901116622
[0],2.1100000000000008,4.1517074426,0.1367543982987273,0.1367543982987273
[0],2.120000000000001,4.1761655837,0.1554419960968117,0.1554419960968117
[0],2.130000000000001,4.1638132116,0.1458544518951185,0.1458544518951185
[0],2.1400000000000006,4.1804954259,0.15887492231661546,0.15887492231661546
[0],2.150000000000001,4.1645929914,0.14645066973280624,0.14645066973280624
[0],2.160000000000001,4.1821945539,0.16023232419403158,0.16023232419403158
[0],2.170000000000001,4.1875725882,0.1645667973726029,0.1645667973726029
[0],2.1800000000000006,4.1873269622,0.16436757232422247,0.16436757232422247
[0],2.190000000000001,4.1857992532,0.16313117037876787,0.16313117037876787
[0],2.200000000000001,4.1950127268,0.17065861029914822,0.17065861029914822
