drug_id,ec50_factor,Eff_0,Error_0,SSE
[0],1.4,3.3276424744,0.3540089192366118,0.3540089192366118
[0],1.41,3.3642973203,0.31173422100675396,0.31173422100675396
[0],1.42,3.3676158608,0.3080395413936153,0.3080395413936153
[0],1.43,3.3565985125999998,0.32039046851590536,0.32039046851590536
[0],1.44,3.39970334,0.27345120509823584,0.27345120509823584
[0],1.45,3.4332791823,0.23946320591373882,0.23946320591373882
[0],1.46,3.4414403004,0.231542527090022,0.231542527090022
[0],1.47,3.4718625842,0.20319032645339946,0.20319032645339946
[0],1.48,3.4587709240999995,0.21516427839672222,0.21516427839672222
[0],1.49,3.5190746174,0.16285610823842703,0.16285610823842703
[0],1.5,3.5335987298,0.15134452078752547,0.15134452078752547
[0],1.51,3.5363399655000003,0.14921918804439882,0.14921918804439882
[0],1.52,3.5695249829,0.12468241935004531,0.12468241935004531
[0],1.53,3.5901855036,0.11051865236806571,0.11051865236806571
[0],1.54,3.5938394656,0.1081025322853867,0.1081025322853867
[0],1.55,3.6078750024,0.09907005445437043,0.09907005445437043
[0],1.56,3.6330570403999998,0.08385189719997285,0.08385189719997285
[0],1.57,3.6536218567000005,0.07236482216387082,0.07236482216387082
[0],1.58,3.6560885371999996,0.07104379751948384,0.07104379751948384
[0],1.59,3.7038219828,0.04787649370901525,0.04787649370901525
[0],1.6,3.6839175427,0.05698314122679751,0.05698314122679751
[0],1.61,3.6915035798999996,0.05341894178862046,0.05341894178862046
[0],1.62,3.7362139205,0.03475056732461665,0.03475056732461665
[0],1.6300000000000001,3.7351288755,0.0351562820625073,0.0351562820625073
[0],1.6400000000000001,3.7391557520000003,0.03366241842075759,0.03366241842075759
[0],1.6500000000000001,3.7444651914000002,0.031742328798081816,0.031742328798081816
[0],1.6600000000000001,3.7683115679,0.023813857813179903,0.023813857813179903
[0],1.6700000000000002,3.7839194187,0.019240337125075484,0.019240337125075484
[0],1.6800000000000002,3.8087709907,0.012963637400835733,0.012963637400835733
[0],1.6900000000000002,3.8162748942999998,0.011311187503628101,0.011311187503628101
[0],1.7000000000000002,3.8444194276,0.006116731114645703,0.006116731114645703
[0],1.7100000000000002,3.8541353336,0.004691376994410043,0.004691376994410043
[0],1.7200000000000002,3.866571567,0.003142431422071259,0.003142431422071259
[0],1.7300000000000002,3.8742129775,0.0023441074582722706,0.0023441074582722706
[0],1.7400000000000002,3.8955747412,0.0007319308089867181,0.0007319308089867181
[0],1.7500000000000002,3.8877443202000004,0.0012169381637449999,0.0012169381637449999
[0],1.7600000000000002,3.9010407882,0.000466049204842661,0.000466049204842661
[0],1.7700000000000002,3.9288177699,3.8301355600721386e-05,3.8301355600721386e-05
[0],1.7800000000000002,3.9357010972000004,0.00017088074483135988,0.00017088074483135988
[0],1.7900000000000003,3.9485450958,0.0006716460429717763,0.0006716460429717763
[0],1.8000000000000003,3.9418878659,0.00037090541794724554,0.00037090541794724554
[0],1.8100000000000003,3.9546188286999997,0.0010233516354634824,0.0010233516354634824
[0],1.8200000000000003,3.9656401310000002,0.001849960744768918,0.001849960744768918
[0],1.8300000000000003,3.9722304414,0.002460306857871563,0.002460306857871563
[0],1.8400000000000003,3.9751215946999996,0.0027554765927623303,0.0027554765927623303
[0],1.8500000000000003,3.9859072695,0.004004144326621192,0.004004144326621192
[0],1.8600000000000003,4.0051679411,0.006812683235948167,0.006812683235948167
[0],1.8700000000000003,4.0057333083,0.006906332540159006,0.006906332540159006
[0],1.8800000000000003,4.020512945999999,0.009581274519480085,0.009581274519480085
[0],1.8900000000000003,4.0392433829000005,0.013598923395071313,0.013598923395071313
[0],1.9000000000000004,4.0345148281,0.01251844725671882,0.01251844725671882
[0],1.9100000000000004,4.0491794377999994,0.01601502317830719,0.01601502317830719
[0],1.9200000000000004,4.062680116299999,0.019614326100864502,0.019614326100864502
[0],1.9300000000000004,4.0671249682,0.02087909609674242,0.02087909609674242
[0],1.9400000000000004,4.066886843100001,0.020810336547977697,0.020810336547977697
[0],1.9500000000000004,4.0793322843,0.024555931533264436,0.024555931533264436
[0],1.9600000000000004,4.0788607225,0.024408363301392868,0.024408363301392868
