drug_id,ec50_factor,Eff_0,Error_0,SSE
[0],1.2,2.8789625984,0.669689432003362,0.669689432003362
[0],1.21,2.8942279920000002,0.6449377305363426,0.6449377305363426
[0],1.22,2.9273541632,0.5928291325497668,0.5928291325497668
[0],1.23,2.9436931801,0.5679355138139984,0.5679355138139984
[0],1.24,2.9782418995,0.5170562639793338,0.5170562639793338
[0],1.25,3.0237634336,0.4536624769078197,0.4536624769078197
[0],1.26,3.0195357213,0.4593754569726274,0.4593754569726274
[0],1.27,3.0276580277000003,0.44843127826060314,0.44843127826060314
[0],1.28,3.0489964929999998,0.4203079968223461,0.4203079968223461
[0],1.29,3.0707354071000004,0.3925933946263561,0.3925933946263561
[0],1.3,3.1030785186000003,0.353108847703024,0.353108847703024
[0],1.31,3.1149234268,0.33917195882812406,0.33917195882812406
[0],1.32,3.1755445379,0.2722372606504759,0.2722372606504759
[0],1.33,3.146809665,0.30304857538131325,0.30304857538131325
[0],1.34,3.1919966991,0.2553396563469255,0.2553396563469255
[0],1.35,3.2212754153999996,0.2266071586983616,0.2266071586983616
[0],1.36,3.2351779046,0.21356435816790129,0.21356435816790129
[0],1.37,3.2798989388,0.17423044458569553,0.17423044458569553
[0],1.3800000000000001,3.304752383,0.15410002549428922,0.15410002549428922
[0],1.3900000000000001,3.3281666047,0.13626547603677355,0.13626547603677355
[0],1.4000000000000001,3.3322209414999997,0.1332886654292762,0.1332886654292762
[0],1.4100000000000001,3.3511924615999997,0.11979606560321783,0.11979606560321783
[0],1.4200000000000002,3.3645470858,0.1107299218543838,0.1107299218543838
[0],1.4300000000000002,3.3831086515,0.09872132108725742,0.09872132108725742
[0],1.4400000000000002,3.3845702311,0.0978050021650479,0.0978050021650479
[0],1.4500000000000002,3.4217500207,0.0759322793166181,0.0759322793166181
[0],1.4600000000000002,3.4409381936999996,0.06572555141682464,0.06572555141682464
[0],1.4700000000000002,3.4710204865,0.05120610393683726,0.05120610393683726
[0],1.4800000000000002,3.5007891208,0.03861972647948215,0.03861972647948215
[0],1.4900000000000002,3.5144299238,0.03344444342351973,0.03344444342351973
[0],1.5000000000000002,3.5225595428,0.030537073621356686,0.030537073621356686
[0],1.5100000000000002,3.5288711155,0.028371032569909842,0.028371032569909842
[0],1.5200000000000002,3.5624507129999996,0.018186526695919858,0.018186526695919858
[0],1.5300000000000002,3.5772256314999997,0.014419809808312714,0.014419809808312714
[0],1.5400000000000003,3.6095313586999995,0.007704764037602373,0.007704764037602373
[0],1.5500000000000003,3.6203758977,0.00591857052076389,0.00591857052076389
[0],1.5600000000000003,3.6147700276,0.006812540658859926,0.006812540658859926
[0],1.5700000000000003,3.6412543765,0.003142024850944046,0.003142024850944046
[0],1.5800000000000003,3.6630214477000003,0.001175577543168413,0.001175577543168413
[0],1.5900000000000003,3.6586908409999994,0.0014912960909938512,0.0014912960909938512
[0],1.6000000000000003,3.6964737792,6.961646194786478e-07,6.961646194786478e-07
[0],1.6100000000000003,3.698266042,9.175685784044495e-07,9.175685784044495e-07
