drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],1.0,0.9388,0.004733439999999996,0.004733439999999996
[3],1.01,0.9367,0.004448889999999998,0.004448889999999998
[3],1.02,0.9411,0.005055210000000007,0.005055210000000007
[3],1.03,0.9385,0.004692250000000001,0.004692250000000001
[3],1.04,0.931,0.0037210000000000064,0.0037210000000000064
[3],1.05,0.933,0.003969000000000007,0.003969000000000007
[3],1.06,0.9298,0.0035760399999999956,0.0035760399999999956
[3],1.07,0.9294,0.003528360000000001,0.003528360000000001
[3],1.08,0.9273,0.003283290000000002,0.003283290000000002
[3],1.09,0.9259,0.0031248099999999944,0.0031248099999999944
[3],1.1,0.9274,0.0032947600000000007,0.0032947600000000007
[3],1.11,0.9211,0.0026112100000000036,0.0026112100000000036
[3],1.12,0.9182,0.002323240000000002,0.002323240000000002
[3],1.1300000000000001,0.9205,0.002550249999999999,0.002550249999999999
[3],1.1400000000000001,0.9191,0.0024108100000000032,0.0024108100000000032
[3],1.1500000000000001,0.9177,0.0022752899999999967,0.0022752899999999967
[3],1.1600000000000001,0.9169,0.002199610000000005,0.002199610000000005
[3],1.1700000000000002,0.9179,0.002294410000000005,0.002294410000000005
[3],1.1800000000000002,0.9096,0.0015681599999999975,0.0015681599999999975
[3],1.1900000000000002,0.9097,0.0015760899999999966,0.0015760899999999966
[3],1.2000000000000002,0.9154,0.00206116,0.00206116
[3],1.2100000000000002,0.906,0.0012960000000000022,0.0012960000000000022
[3],1.2200000000000002,0.9116,0.0017305599999999975,0.0017305599999999975
[3],1.2300000000000002,0.9007,0.0009424899999999969,0.0009424899999999969
[3],1.2400000000000002,0.9014,0.000985959999999999,0.000985959999999999
[3],1.2500000000000002,0.8944,0.0005953599999999989,0.0005953599999999989
[3],1.2600000000000002,0.9003,0.0009180899999999997,0.0009180899999999997
[3],1.2700000000000002,0.899,0.0008410000000000015,0.0008410000000000015
[3],1.2800000000000002,0.8942,0.00058564,0.00058564
[3],1.2900000000000003,0.8862,0.00026243999999999974,0.00026243999999999974
[3],1.3000000000000003,0.8955,0.0006502499999999984,0.0006502499999999984
[3],1.3100000000000003,0.8906,0.00042435999999999803,0.00042435999999999803
[3],1.3200000000000003,0.8887,0.0003496900000000019,0.0003496900000000019
[3],1.3300000000000003,0.8836,0.00018496000000000154,0.00018496000000000154
[3],1.3400000000000003,0.8811,0.00012320999999999998,0.00012320999999999998
[3],1.3500000000000003,0.8792,8.463999999999975e-05,8.463999999999975e-05
[3],1.3600000000000003,0.8782,6.723999999999976e-05,6.723999999999976e-05
[3],1.3700000000000003,0.8753,2.8089999999999695e-05,2.8089999999999695e-05
[3],1.3800000000000003,0.8742,1.7639999999999845e-05,1.7639999999999845e-05
[3],1.3900000000000003,0.8697,8.999999999998017e-08,8.999999999998017e-08
[3],1.4000000000000004,0.8709,8.100000000000215e-07,8.100000000000215e-07
