drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],2.0,0.4486,0.0025603599999999976,0.0025603599999999976
[3],2.01,0.446,0.0023039999999999988,0.0023039999999999988
[3],2.0199999999999996,0.4389,0.0016728099999999994,0.0016728099999999994
[3],2.0299999999999994,0.4421,0.0019448099999999976,0.0019448099999999976
[3],2.039999999999999,0.4443,0.0021436899999999954,0.0021436899999999954
[3],2.049999999999999,0.4412,0.0018662399999999967,0.0018662399999999967
[3],2.0599999999999987,0.4389,0.0016728099999999994,0.0016728099999999994
[3],2.0699999999999985,0.4287,0.0009424900000000004,0.0009424900000000004
[3],2.0799999999999983,0.423,0.0006249999999999984,0.0006249999999999984
[3],2.089999999999998,0.4286,0.0009363599999999976,0.0009363599999999976
[3],2.099999999999998,0.4215,0.0005522499999999984,0.0005522499999999984
[3],2.1099999999999977,0.4294,0.000985959999999999,0.000985959999999999
[3],2.1199999999999974,0.4203,0.0004972899999999994,0.0004972899999999994
[3],2.1299999999999972,0.4131,0.00022801000000000006,0.00022801000000000006
[3],2.139999999999997,0.4143,0.00026568999999999936,0.00026568999999999936
[3],2.149999999999997,0.4225,0.0006002499999999984,0.0006002499999999984
[3],2.1599999999999966,0.4174,0.0003763599999999989,0.0003763599999999989
[3],2.1699999999999964,0.4088,0.00011663999999999949,0.00011663999999999949
[3],2.179999999999996,0.4084,0.00010815999999999926,0.00010815999999999926
[3],2.189999999999996,0.4063,6.888999999999957e-05,6.888999999999957e-05
[3],2.1999999999999957,0.4,4.0000000000000074e-06,4.0000000000000074e-06
[3],2.2099999999999955,0.3899,6.560999999999994e-05,6.560999999999994e-05
[3],2.2199999999999953,0.4027,2.208999999999983e-05,2.208999999999983e-05
[3],2.229999999999995,0.3998,3.239999999999886e-06,3.239999999999886e-06
[3],2.239999999999995,0.394,1.600000000000003e-05,1.600000000000003e-05
[3],2.2499999999999947,0.4027,2.208999999999983e-05,2.208999999999983e-05
[3],2.2599999999999945,0.399,1.0000000000000019e-06,1.0000000000000019e-06
[3],2.2699999999999942,0.3956,5.7600000000000634e-06,5.7600000000000634e-06
[3],2.279999999999994,0.3827,0.0002340900000000011,0.0002340900000000011
[3],2.289999999999994,0.3844,0.00018496000000000002,0.00018496000000000002
[3],2.2999999999999936,0.3851,0.00016641000000000057,0.00016641000000000057
[3],2.3099999999999934,0.3885,9.025000000000016e-05,9.025000000000016e-05
[3],2.319999999999993,0.3902,6.0840000000000454e-05,6.0840000000000454e-05
[3],2.329999999999993,0.3673,0.0009424900000000004,0.0009424900000000004
[3],2.3399999999999928,0.3811,0.00028561000000000087,0.00028561000000000087
[3],2.3499999999999925,0.3749,0.0005336100000000004,0.0005336100000000004
[3],2.3599999999999923,0.3716,0.0006969600000000018,0.0006969600000000018
[3],2.369999999999992,0.3681,0.0008940100000000023,0.0008940100000000023
[3],2.379999999999992,0.3668,0.0009734400000000003,0.0009734400000000003
[3],2.3899999999999917,0.375,0.0005290000000000009,0.0005290000000000009
