drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],0.5,0.9804,0.011968360000000011,0.011968360000000011
[3],0.51,0.9794,0.01175056000000001,0.01175056000000001
[3],0.52,0.979,0.011663999999999997,0.011663999999999997
[3],0.53,0.9764,0.01110916000000001,0.01110916000000001
[3],0.54,0.9764,0.01110916000000001,0.01110916000000001
[3],0.55,0.9745,0.010712250000000008,0.010712250000000008
[3],0.56,0.9741,0.010629609999999994,0.010629609999999994
[3],0.5700000000000001,0.9715,0.010100250000000007,0.010100250000000007
[3],0.5800000000000001,0.972,0.010200999999999997,0.010200999999999997
[3],0.5900000000000001,0.9714,0.010080160000000008,0.010080160000000008
[3],0.6000000000000001,0.9658,0.00898704,0.00898704
[3],0.6100000000000001,0.9678,0.00937024,0.00937024
[3],0.6200000000000001,0.966,0.009024999999999995,0.009024999999999995
[3],0.6300000000000001,0.9628,0.008427239999999999,0.008427239999999999
[3],0.6400000000000001,0.9585,0.007656250000000004,0.007656250000000004
[3],0.6500000000000001,0.9627,0.00840889,0.00840889
[3],0.6600000000000001,0.9589,0.007726409999999996,0.007726409999999996
[3],0.6700000000000002,0.9589,0.007726409999999996,0.007726409999999996
[3],0.6800000000000002,0.9576,0.0074995600000000015,0.0074995600000000015
[3],0.6900000000000002,0.9566,0.0073273600000000015,0.0073273600000000015
[3],0.7000000000000002,0.9556,0.007157160000000002,0.007157160000000002
[3],0.7100000000000002,0.952,0.006560999999999994,0.006560999999999994
[3],0.7200000000000002,0.9493,0.006130890000000006,0.006130890000000006
[3],0.7300000000000002,0.9515,0.0064802500000000025,0.0064802500000000025
[3],0.7400000000000002,0.9479,0.005913609999999995,0.005913609999999995
[3],0.7500000000000002,0.9478,0.0058982399999999964,0.0058982399999999964
[3],0.7600000000000002,0.9454,0.005535360000000003,0.005535360000000003
[3],0.7700000000000002,0.9412,0.004928040000000006,0.004928040000000006
[3],0.7800000000000002,0.9332,0.003868840000000004,0.003868840000000004
[3],0.7900000000000003,0.9327,0.0038068899999999972,0.0038068899999999972
[3],0.8000000000000003,0.9308,0.0035760399999999956,0.0035760399999999956
[3],0.8100000000000003,0.9325,0.00378225,0.00378225
[3],0.8200000000000003,0.9287,0.003329289999999997,0.003329289999999997
