drug_id,ec50_factor,Eff_0,Error_0,SSE
[3],1.5,0.6495,0.005666476176000001,0.005666476176000001
[3],1.51,0.6518,0.006018035776000014,0.006018035776000014
[3],1.52,0.6398,0.004300211776000011,0.004300211776000011
[3],1.53,0.6357,0.0037792985760000107,0.0037792985760000107
[3],1.54,0.6306,0.0031782533760000104,0.0031782533760000104
[3],1.55,0.637,0.003940826176000007,0.003940826176000007
[3],1.56,0.6278,0.002870387776000007,0.002870387776000007
[3],1.57,0.6193,0.0020318457760000004,0.0020318457760000004
[3],1.58,0.6122,0.0014421765760000008,0.0014421765760000008
[3],1.59,0.6106,0.0013232133760000054,0.0013232133760000054
[3],1.6,0.6148,0.0016464117760000047,0.0016464117760000047
[3],1.61,0.6062,0.0010224645760000004,0.0010224645760000004
[3],1.62,0.5992,0.000623800576,0.000623800576
[3],1.6300000000000001,0.5924,0.00033036697600000295,0.00033036697600000295
[3],1.6400000000000001,0.5823,6.522177600000135e-05,6.522177600000135e-05
[3],1.6500000000000001,0.5883,0.00019813377600000248,0.00019813377600000248
[3],1.6600000000000001,0.5788,2.0939776000000224e-05,2.0939776000000224e-05
[3],1.6700000000000002,0.575,6.021759999999983e-07,6.021759999999983e-07
[3],1.6800000000000002,0.5732,1.0485759999998236e-06,1.0485759999998236e-06
[3],1.6900000000000002,0.5729,1.7529759999999784e-06,1.7529759999999784e-06
[3],1.7000000000000002,0.5635,0.00011500417599999905,0.00011500417599999905
[3],1.7100000000000002,0.5548,0.00037729177599999986,0.00037729177599999986
[3],1.7200000000000002,0.5548,0.00037729177599999986,0.00037729177599999986
[3],1.7300000000000002,0.5442,0.0009014405759999964,0.0009014405759999964
[3],1.7400000000000002,0.538,0.0013121781759999943,0.0013121781759999943
[3],1.7500000000000002,0.5397,0.001191906576,0.001191906576
[3],1.7600000000000002,0.5293,0.0020181657759999966,0.0020181657759999966
[3],1.7700000000000002,0.5258,0.0023448837759999916,0.0023448837759999916
[3],1.7800000000000002,0.5297,0.0019823865760000008,0.0019823865760000008
[3],1.7900000000000003,0.52,0.0029402421759999933,0.0029402421759999933
[3],1.8000000000000003,0.5114,0.003946854975999999,0.003946854975999999
[3],1.8100000000000003,0.513,0.0037483781759999934,0.0037483781759999934
[3],1.8200000000000003,0.513,0.0037483781759999934,0.0037483781759999934
[3],1.8300000000000003,0.5274,0.002192486975999998,0.002192486975999998
[3],1.8400000000000003,0.5027,0.005115682575999989,0.005115682575999989
[3],1.8500000000000003,0.5016,0.005274245375999987,0.005274245375999987
[3],1.8600000000000003,0.5014,0.005303334976,0.005303334976
[3],1.8700000000000003,0.481,0.008690714175999995,0.008690714175999995
[3],1.8800000000000003,0.4899,0.007110536975999992,0.007110536975999992
[3],1.8900000000000003,0.4898,0.00712741177599999,0.00712741177599999
[3],1.9000000000000004,0.4799,0.008897016975999993,0.008897016975999993
[3],1.9100000000000004,0.4798,0.00891589177599999,0.00891589177599999
[3],1.9200000000000004,0.4715,0.010552220175999997,0.010552220175999997
[3],1.9300000000000004,0.4758,0.009687283775999991,0.009687283775999991
[3],1.9400000000000004,0.4734,0.010165478975999993,0.010165478975999993
[3],1.9500000000000004,0.4667,0.01156141057599999,0.01156141057599999
[3],1.9600000000000004,0.4611,0.012797039375999988,0.012797039375999988
[3],1.9700000000000004,0.4558,0.014024243775999994,0.014024243775999994
[3],1.9800000000000004,0.4562,0.01392966457599999,0.01392966457599999
[3],1.9900000000000004,0.4467,0.016262370575999992,0.016262370575999992
[3],2.0000000000000004,0.4402,0.017962432575999995,0.017962432575999995
[3],2.0100000000000007,0.4398,0.01806981177599998,0.01806981177599998
[3],2.0200000000000005,0.4437,0.017036514575999993,0.017036514575999993
[3],2.0300000000000002,0.4472,0.016135096575999992,0.016135096575999992
[3],2.0400000000000005,0.4402,0.017962432575999995,0.017962432575999995
[3],2.0500000000000007,0.4376,0.01866611737599999,0.01866611737599999
[3],2.0600000000000005,0.4349,0.019411176975999984,0.019411176975999984
[3],2.0700000000000003,0.4341,0.019634735375999992,0.019634735375999992
[3],2.0800000000000005,0.4332,0.019887768575999994,0.019887768575999994
[3],2.0900000000000007,0.4214,0.02335517497599999,0.02335517497599999
[3],2.1000000000000005,0.4289,0.021119064975999986,0.021119064975999986
[3],2.1100000000000003,0.4211,0.023446959375999995,0.023446959375999995
[3],2.1200000000000006,0.4217,0.02326357057599998,0.02326357057599998
[3],2.130000000000001,0.4161,0.025003199375999978,0.025003199375999978
[3],2.1400000000000006,0.4214,0.02335517497599999,0.02335517497599999
[3],2.1500000000000004,0.4268,0.021733835775999983,0.021733835775999983
[3],2.1600000000000006,0.4096,0.02710106137599998,0.02710106137599998
[3],2.170000000000001,0.4084,0.02749759897599999,0.02749759897599999
[3],2.1800000000000006,0.4106,0.02677281337599998,0.02677281337599998
[3],2.1900000000000004,0.4023,0.029557861775999988,0.029557861775999988
[3],2.2000000000000006,0.4062,0.028232064575999985,0.028232064575999985
[3],2.210000000000001,0.3981,0.03101966337599998,0.03101966337599998
[3],2.2200000000000006,0.4011,0.02997191937599998,0.02997191937599998
[3],2.2300000000000004,0.3921,0.03316915137599998,0.03316915137599998
[3],2.2400000000000007,0.3962,0.03169254457599999,0.03169254457599999
[3],2.250000000000001,0.395,0.03212124217599998,0.03212124217599998
[3],2.2600000000000007,0.3885,0.03449340417599998,0.03449340417599998
[3],2.2700000000000005,0.3921,0.03316915137599998,0.03316915137599998
[3],2.2800000000000007,0.3863,0.035315429775999996,0.035315429775999996
[3],2.290000000000001,0.389,0.03430793017599998,0.03430793017599998
[3],2.3000000000000007,0.3727,0.04061192257599999,0.04061192257599999
[3],2.3100000000000005,0.3868,0.03512775577599999,0.03512775577599999
[3],2.3200000000000007,0.3872,0.034977976575999985,0.034977976575999985
[3],2.330000000000001,0.379,0.038112410175999985,0.038112410175999985
[3],2.3400000000000007,0.3831,0.036528383375999986,0.036528383375999986
[3],2.3500000000000005,0.3828,0.036643147775999994,0.036643147775999994
[3],2.3600000000000008,0.3713,0.04117814977599998,0.04117814977599998
[3],2.370000000000001,0.3742,0.04000960057599999,0.04000960057599999
[3],2.380000000000001,0.3789,0.03815146497599998,0.03815146497599998
[3],2.3900000000000006,0.3762,0.039213504575999994,0.039213504575999994
[3],2.400000000000001,0.3741,0.040049615375999985,0.040049615375999985
[3],2.410000000000001,0.3723,0.04077330177599998,0.04077330177599998
[3],2.420000000000001,0.3634,0.04444675897599998,0.04444675897599998
[3],2.4300000000000006,0.3731,0.040450863375999985,0.040450863375999985
[3],2.440000000000001,0.3652,0.043691032575999975,0.043691032575999975
[3],2.450000000000001,0.3606,0.04563521337599999,0.04563521337599999
[3],2.460000000000001,0.3516,0.04956144537599997,0.04956144537599997
[3],2.4700000000000006,0.3573,0.047056021775999976,0.047056021775999976
[3],2.480000000000001,0.3614,0.04529405497599998,0.04529405497599998
[3],2.490000000000001,0.3602,0.04580627257599997,0.04580627257599997
